City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Isla Mujeres,MX,73.45,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
572,Trat,TH,79.99,clear sky,12.5,102.5,สวนหนิง-อัศ
578,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
581,Mareeba,AU,74.12,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
583,Uchiza,PE,81.21,scattered clouds,-8.4592,-76.4633,Hotel San Pedro
587,Barra Do Garcas,BR,89.46,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
590,Lima,PE,70.14,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
594,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
596,Guayabetal,CO,78.85,scattered clouds,4.2147,-73.8172,Hotel Finca el Recreo
600,Huarmey,PE,74.39,scattered clouds,-10.0681,-78.1522,Hotel Miramar
603,Tera,NE,84.07,broken clouds,14.0078,0.7531,Hotel Dar es salam
607,Jawhar,SO,83.61,overcast clouds,2.7809,45.5005,hantiwadaag village part one
612,Mitsamiouli,KM,80.53,light rain,-11.3847,43.2844,Foyer ADM
622,Santa Cruz De La Palma,ES,73.54,few clouds,28.6835,-17.7642,H10 Taburiente Playa
632,Inyonga,TZ,73.0,light rain,-6.7167,32.0667,Eden Rock Lodge
633,Amalapuram,IN,79.18,light rain,16.5833,82.0167,swayamprabha service apartments
634,Callaguip,PH,76.69,overcast clouds,18.0714,120.4867,Pangil Beach Resort
636,Saint-Joseph,RE,86.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
639,Pekan Nenas,MY,80.58,scattered clouds,1.51,103.5141,Village Custle
640,Hobyo,SO,78.53,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
641,Atmakur,IN,77.88,clear sky,15.8833,78.5833,Mee seva atk
642,Jacareacanga,BR,88.11,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
643,Nabire,ID,75.69,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
647,Gondanglegi,ID,75.51,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
648,Pundaguitan,PH,80.33,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
650,Shakiso,ET,73.54,overcast clouds,5.75,38.9167,Bealu Girma Hottel
652,Araguacu,BR,86.27,clear sky,-12.9306,-49.8264,Hotel Tocantins
657,San Policarpo,PH,78.69,scattered clouds,12.1791,125.5072,Agapita M. Nicart
658,Mecca,SA,76.21,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
659,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
660,Norsup,VU,81.14,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
666,Novo Aripuana,BR,86.81,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
668,Nauta,PE,80.38,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
674,Ternate,ID,79.61,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
675,Carutapera,BR,87.21,clear sky,-1.195,-46.02,Lidera
680,Pringsewu,ID,74.21,overcast clouds,-5.3582,104.9744,Urban Style by Front One
683,Mlalo,TZ,80.85,overcast clouds,-4.9333,38.9333,B Farm
685,Chilca,PE,72.84,scattered clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
689,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
690,Vanimo,PG,78.17,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
693,Mana,GF,80.94,overcast clouds,5.6592,-53.7767,LE SAMANA
694,Libreville,GA,84.0,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
696,Santa Cruz Cabralia,BR,84.43,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
697,Kinablangan,PH,76.33,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
702,Pontian Kecil,MY,80.73,broken clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
707,Nicoya,CR,83.75,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
710,Tarata,BO,70.07,overcast clouds,-17.6167,-66.0167,Hacienda castillo
717,Palora,EC,73.51,overcast clouds,-1.7,-77.9333,Rancho grande
